"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","MEN","POP","MENarr","POParr"
"40200","Moustey","40410","MOUSTEY                               ",72,40,256,576,256,576
"40201","Mugron","40250","MUGRON                                ",72,40,"578,2062726299","1298,0140814141",578,1298
"40202","Narrosse","40180","NARROSSE                              ",72,40,"1327,2109791823","3064,2034690433",1327,3064
"40203","Nassiet","40330","NASSIET                               ",72,40,"144,9008498584","357,4220963173",145,357
"40204","Nerbis","40250","NERBIS                                ",72,40,"112,6625527741","264,1742616772",113,264
"40205","Nousse","40380","NOUSSE                                ",72,40,"111,9193548387","261,1451612903",112,261
"40206","Oeyregave","40300","OEYREGAVE                             ",72,40,"157,52","361,0685714286",158,361
"40207","Oeyreluy","40180","OEYRELUY                              ",72,40,"547,0998717958","1291,6796236505",547,1292
"40208","Onard","40380","ONARD                                 ",72,40,152,384,152,384
"40209","Ondres","40440","ONDRES                                ",72,40,2080,4708,2080,4708
"40210","Onesse-Laharie","40110","ONESSE LAHARIE                        ",72,40,"410,6480135059","905,0203792799",411,905
"40211","Orist","40300","ORIST                                 ",72,40,"259,6187683284","675,008797654",260,675
"40212","Orthevielle","40300","ORTHEVIELLE                           ",72,40,"371,5766176896","890,9847929546",372,891
"40213","Orx","40230","ORX                                   ",72,40,"219,3773251467","567,0696895302",219,567
"40214","Ossages","40290","OSSAGES                               ",72,40,"194,410041841","498,1757322176",194,498
"40215","Ousse-Suzan","40110","OUSSE SUZAN                           ",72,40,"108,9700374532","241,6292134831",109,242
"40216","Ozourt","40380","OZOURT                                ",72,40,"84,999331636","199,9984273788",85,200
"40217","Parentis-en-Born","40160","PARENTIS EN BORN                      ",72,40,"2426,042659843","5447,7990589369",2426,5448
"40218","Parleboscq","40310","PARLEBOSCQ                            ",72,40,"221,7392602122","495,8896182926",222,496
"40219","Payros-Cazautets","40320","PAYROS CAZAUTETS                      ",72,40,"37,8367346939","105,1020408163",38,105
"40220","Pécorade","40320","PECORADE                              ",72,40,"63,5816993464","151,0065359477",64,151
"40221","Perquie","40190","PERQUIE                               ",72,40,"152,8397790055","353,9447513812",153,354
"40222","Pey","40300","PEY                                   ",72,40,"274,7474747475","715,1515151515",275,715
"40223","Peyre","40700","PEYRE                                 ",72,40,92,240,92,240
"40224","Peyrehorade","40300","PEYREHORADE                           ",72,40,"1570,8241708365","3445,7740593626",1571,3446
"40225","Philondenx","40320","PHILONDENX                            ",72,40,"82,4516129032","204,1658986175",82,204
"40226","Pimbo","40320","PIMBO                                 ",72,40,"81,504950495","186,297029703",82,186
"40227","Pissos","40410","PISSOS                                ",72,40,"674,72312749","1357,5762427633",675,1358
"40228","Pomarez","40360","POMAREZ                               ",72,40,"640,8878440621","1421,9699040127",641,1422
"40229","Pontenx-les-Forges","40200","PONTENX LES FORGES                    ",72,40,"663,0228377449","1515,4807719884",663,1515
"40230","Pontonx-sur-l'Adour","40465","PONTONX SUR L ADOUR                   ",72,40,"1118,7117679791","2532,5730236802",1119,2533
"40231","Port-de-Lanne","40300","PORT DE LANNE                         ",72,40,"387,5265210951","902,8543417003",388,903
"40232","Poudenx","40700","POUDENX                               ",72,40,"98,096069869","245,2401746725",98,245
"40233","Pouillon","40350","POUILLON                              ",72,40,"1222,9649699647","2907,7604044266",1223,2908
"40234","Pouydesseaux","40120","POUYDESSEAUX                          ",72,40,360,928,360,928
"40235","Poyanne","40380","POYANNE                               ",72,40,"258,8264984227","626,8454258675",259,627
"40236","Poyartin","40380","POYARTIN                              ",72,40,"299,9759326113","768,6883273165",300,769
"40237","Préchacq-les-Bains","40465","PRECHACQ LES BAINS                    ",72,40,"274,3906705539","680,0116618076",274,680
"40238","Pujo-le-Plan","40190","PUJO LE PLAN                          ",72,40,"235,6721311475","604,8918032787",236,605
"40239","Puyol-Cazalet","40320","PUYOL CAZALET                         ",72,40,"45,1578947368","119,0526315789",45,119
"40240","Renung","40270","RENUNG                                ",72,40,"192,811023622","533,3070866142",193,533
"40242","Rimbez-et-Baudiets","40310","RIMBEZ ET BAUDIETS                    ",72,40,44,104,44,104
"40243","Rion-des-Landes","40370","RION DES LANDES                       ",72,40,"1105,729151547","2441,3231446343",1106,2441
"40244","Rivière-Saas-et-Gourby","40180","RIVIERE SAAS ET GOURBY                ",72,40,476,1192,476,1192
"40245","Roquefort","40120","ROQUEFORT                             ",72,40,"864,1611797617","1800,0039320381",864,1800
"40246","Sabres","40630","SABRES                                ",72,40,"506,6426225926","1105,0394209304",507,1105
"40247","Saint-Agnet","40800","SAINT AGNET                              ",72,40,"79,1959798995","209,8693467337",79,210
"40248","Saint-André-de-Seignanx","40390","SAINT ANDRE DE SEIGNANX                  ",72,40,"595,0370489864","1576,2570834077",595,1576
"40249","Saint-Aubin","40250","SAINT AUBIN                              ",72,40,"203,5992141454","499,0176817289",204,499
"40250","Saint-Avit","40090","SAINT AVIT                               ",72,40,240,576,240,576
"40251","Saint-Barthélemy","40390","SAINT BARTHELEMY                         ",72,40,"145,0025316456","391,8987341772",145,392
"40252","Sainte-Colombe","40700","STE COLOMBE                           ",72,40,"245,213158084","657,1712636652",245,657
"40253","Saint-Cricq-Chalosse","40700","SAINT CRICQ CHALOSSE                     ",72,40,"267,7535545024","645,0426540284",268,645
"40254","Saint-Cricq-du-Gave","40300","SAINT CRICQ DU GAVE                      ",72,40,"147,5930734691","355,0211767231",148,355
"40255","Saint-Cricq-Villeneuve","40190","SAINT CRICQ VILLENEUVE                   ",72,40,"170,2094593228","430,2516888436",170,430
"40256","Saint-Étienne-d'Orthe","40300","SAINT ETIENNE D ORTHE                    ",72,40,"265,6860986547","666,1405082212",266,666
